Quelle;Kategorie;Eingabe_Rohbegriff;Zielbegriff_Normalisiert
mappings.py;LOKALISATION_GT_MAPPING;schwer zu beurteilen, Vermutung am Trochanter major;Bein
mappings.py;LOKALISATION_GT_MAPPING;"schwer zu beurteilen, keine genaue Angabe möglich,
eventuell Rücken Richtung Oberarm /";Enthaltung / keine Angabe
mappings.py;LOKALISATION_GT_MAPPING;schwierig zu beantworten... könnte die Wade sein, evtl. rechts;Bein
mappings.py;LOKALISATION_GT_MAPPING;unterschenkel;Bein
mappings.py;LOKALISATION_GT_MAPPING;vermutlich am Außenknöchel;Fuß
mappings.py;LOKALISATION_GT_MAPPING;vermutlich am Unterschenkel;Bein
mappings.py;LOKALISATION_KEYWORDS;Fuß;fuß, fus, ferse, knöchel, zehe, spann, sohle, plantar, vorfuß, mittelfuß, fußrücken, sprunggelenk, malleolar, malleol, dorsolateral, dorsalseitig, rückfuß, großzehe, calcaneus, außenknöchel
mappings.py;LOKALISATION_KEYWORDS;Bein;bein, schenkel, wade, knie, achilles, knöchelregion, unterschenkel, gaiter
mappings.py;LOKALISATION_KEYWORDS;Arm;arm, oberarm, unterarm
mappings.py;LOKALISATION_KEYWORDS;Hand;hand, handgelenk
mappings.py;LOKALISATION_KEYWORDS;Abdomen;abdomen, bauch, bauchdecke, abdominal
mappings.py;LOKALISATION_KEYWORDS;Gesäß/Steiß;gesäß, gesaess, sakral, steiß, steiss, perianal, sakrogluteal, gluteal, intergluteal, leiste, leistenregion, inguinal
mappings.py;PRODUKT_GT_MAPPING;Schaumstoffverbände (Foam);Schaumstoffverbände (Foam)
mappings.py;PRODUKT_GT_MAPPING;Schaumstoffverbände;Schaumstoffverbände (Foam)
mappings.py;PRODUKT_GT_MAPPING;Hydrofaser / Hydrofiber;Hydrofaser / Hydrofiber
mappings.py;PRODUKT_GT_MAPPING;Alginate;Alginate
mappings.py;PRODUKT_GT_MAPPING;Hydrogele (Kompresse);Hydrogele (Kompresse)
mappings.py;PRODUKT_GT_MAPPING;Hydrokolloide;Hydrokolloide
mappings.py;PRODUKT_GT_MAPPING;Superabsorber;Superabsorber
mappings.py;PRODUKT_GT_MAPPING;Wundkontaktschichten (Silikon/Paraffin);Wundkontaktschichten (Silikon/Paraffin)
mappings.py;PRODUKT_GT_MAPPING;Lipidokolloid-Auflagen;Wundkontaktschichten (Silikon/Paraffin)
mappings.py;PRODUKT_GT_MAPPING;Hydropolymerverbände;Schaumstoffverbände (Foam)
mappings.py;PRODUKT_GT_MAPPING;Silberhydrofaser;Hydrofaser / Hydrofiber
mappings.py;PRODUKT_GT_MAPPING;Silberalginat;Alginate
mappings.py;PRODUKT_GT_MAPPING;Silber-Schaumverbände;Schaumstoffverbände (Foam)
mappings.py;PRODUKT_GT_MAPPING;antimikrobielle Alginate;Alginate
mappings.py;PRODUKT_GT_MAPPING;Hydrofaser / Hydrofiber, silberhaltige Varianten bei bakterieller Belastung;Hydrofaser / Hydrofiber
